Date,Close
"Oct 20, 2015",3.09
"Oct 19, 2015",3.05
"Oct 18, 2015",3.02
"Oct 17, 2015",3.07
"Oct 16, 2015",3.11
"Oct 15, 2015",3.10
"Oct 14, 2015",3.14
"Oct 13, 2015",3.18
"Oct 12, 2015",3.14
"Oct 11, 2015",3.15
"Oct 10, 2015",3.11
"Oct 09, 2015",3.11
"Oct 08, 2015",3.06
"Oct 07, 2015",3.06
"Oct 06, 2015",3.15
"Oct 05, 2015",3.02
"Oct 04, 2015",3.01
"Oct 03, 2015",3.03
"Oct 02, 2015",2.99
"Oct 01, 2015",3.00
"Sep 30, 2015",3.01
"Sep 29, 2015",2.97
"Sep 28, 2015",3.07
"Sep 27, 2015",2.87
"Sep 26, 2015",2.89
"Sep 25, 2015",2.89
"Sep 24, 2015",2.93
"Sep 23, 2015",2.87
"Sep 22, 2015",2.84
"Sep 21, 2015",2.80
"Sep 20, 2015",2.85
"Sep 19, 2015",2.87
"Sep 18, 2015",2.96
"Sep 17, 2015",2.91
"Sep 16, 2015",2.80
"Sep 15, 2015",2.82
"Sep 14, 2015",2.84
"Sep 13, 2015",2.82
"Sep 12, 2015",2.83
"Sep 11, 2015",2.96
"Sep 10, 2015",2.95
"Sep 09, 2015",2.92
"Sep 08, 2015",3.05
"Sep 07, 2015",3.05
"Sep 06, 2015",3.05
"Sep 05, 2015",2.92
"Sep 04, 2015",2.70
"Sep 03, 2015",2.63
"Sep 02, 2015",2.80
"Sep 01, 2015",2.82
"Aug 31, 2015",2.84
"Aug 30, 2015",2.85
"Aug 29, 2015",2.88
"Aug 28, 2015",2.91
"Aug 27, 2015",2.87
"Aug 26, 2015",2.95
"Aug 25, 2015",2.94
"Aug 24, 2015",2.99
"Aug 23, 2015",3.39
"Aug 22, 2015",3.51
"Aug 21, 2015",3.57
"Aug 20, 2015",3.61
"Aug 19, 2015",3.48
"Aug 18, 2015",3.47
"Aug 17, 2015",3.98
"Aug 16, 2015",3.95
"Aug 15, 2015",3.93
"Aug 14, 2015",4.03
"Aug 13, 2015",3.88
"Aug 12, 2015",3.99
"Aug 11, 2015",4.16
"Aug 10, 2015",3.95
"Aug 09, 2015",3.90
"Aug 08, 2015",3.85
"Aug 07, 2015",4.21
"Aug 06, 2015",4.06
"Aug 05, 2015",4.35
"Aug 04, 2015",4.38
"Aug 03, 2015",4.16
"Aug 02, 2015",4.17
"Aug 01, 2015",4.15
"Jul 31, 2015",4.64
"Jul 30, 2015",4.58
"Jul 29, 2015",4.80
"Jul 28, 2015",5.06
"Jul 27, 2015",4.67
"Jul 26, 2015",4.66
"Jul 25, 2015",4.63
"Jul 24, 2015",4.60
"Jul 23, 2015",3.78
"Jul 22, 2015",3.82
"Jul 21, 2015",3.77
"Jul 20, 2015",3.94
"Jul 19, 2015",3.77
"Jul 18, 2015",4.00
"Jul 17, 2015",3.79
"Jul 16, 2015",3.69
"Jul 15, 2015",4.21
"Jul 14, 2015",4.65
"Jul 13, 2015",4.68
"Jul 12, 2015",5.29
"Jul 11, 2015",4.37
"Jul 10, 2015",4.51
"Jul 09, 2015",7.54
"Jul 08, 2015",6.36
"Jul 07, 2015",5.23
"Jul 06, 2015",5.42
"Jul 05, 2015",4.95
"Jul 04, 2015",4.11
"Jul 03, 2015",4.12
"Jul 02, 2015",4.07
"Jul 01, 2015",3.92
"Jun 30, 2015",4.09
"Jun 29, 2015",3.74
"Jun 28, 2015",3.31
"Jun 27, 2015",3.10
"Jun 26, 2015",2.86
"Jun 25, 2015",2.85
"Jun 24, 2015",2.78
"Jun 23, 2015",2.97
"Jun 22, 2015",3.03
"Jun 21, 2015",3.02
"Jun 20, 2015",3.04
"Jun 19, 2015",2.81
"Jun 18, 2015",3.10
"Jun 17, 2015",2.89
"Jun 16, 2015",2.88
"Jun 15, 2015",2.02
"Jun 14, 2015",2.00
"Jun 13, 2015",1.86
"Jun 12, 2015",1.80
"Jun 11, 2015",1.79
"Jun 10, 2015",1.76
"Jun 09, 2015",1.80
"Jun 08, 2015",1.79
"Jun 07, 2015",1.73
"Jun 06, 2015",1.76
"Jun 05, 2015",1.76
"Jun 04, 2015",1.67
"Jun 03, 2015",1.69
"Jun 02, 2015",1.67
"Jun 01, 2015",1.62
"May 31, 2015",1.64
"May 30, 2015",1.81
"May 29, 2015",1.83
"May 28, 2015",1.84
"May 27, 2015",1.85
"May 26, 2015",1.82
"May 25, 2015",1.80
"May 24, 2015",1.83
"May 23, 2015",1.79
"May 22, 2015",1.83
"May 21, 2015",1.48
"May 20, 2015",1.46
"May 19, 2015",1.45
"May 18, 2015",1.45
"May 17, 2015",1.45
"May 16, 2015",1.45
"May 15, 2015",1.45
"May 14, 2015",1.45
"May 13, 2015",1.45
"May 12, 2015",1.45
"May 11, 2015",1.44
"May 10, 2015",1.44
"May 09, 2015",1.45
"May 08, 2015",1.48
"May 07, 2015",1.46
"May 06, 2015",1.39
"May 05, 2015",1.41
"May 04, 2015",1.41
"May 03, 2015",1.43
"May 02, 2015",1.42
"May 01, 2015",1.41
"Apr 30, 2015",1.44
"Apr 29, 2015",1.36
"Apr 28, 2015",1.36
"Apr 27, 2015",1.38
"Apr 26, 2015",1.32
"Apr 25, 2015",1.40
"Apr 24, 2015",1.42
"Apr 23, 2015",1.46
"Apr 22, 2015",1.45
"Apr 21, 2015",1.42
"Apr 20, 2015",1.41
"Apr 19, 2015",1.39
"Apr 18, 2015",1.41
"Apr 17, 2015",1.41
"Apr 16, 2015",1.42
"Apr 15, 2015",1.38
"Apr 14, 2015",1.38
"Apr 13, 2015",1.38
"Apr 12, 2015",1.46
"Apr 11, 2015",1.46
"Apr 10, 2015",1.53
"Apr 09, 2015",1.59
"Apr 08, 2015",1.63
"Apr 07, 2015",1.67
"Apr 06, 2015",1.69
"Apr 05, 2015",1.70
"Apr 04, 2015",1.69
"Apr 03, 2015",1.70
"Apr 02, 2015",1.68
"Apr 01, 2015",1.66
"Mar 31, 2015",1.65
"Mar 30, 2015",1.67
"Mar 29, 2015",1.66
"Mar 28, 2015",1.70
"Mar 27, 2015",1.69
"Mar 26, 2015",1.70
"Mar 25, 2015",1.67
"Mar 24, 2015",1.65
"Mar 23, 2015",1.78
"Mar 22, 2015",1.80
"Mar 21, 2015",1.75
"Mar 20, 2015",1.77
"Mar 19, 2015",1.76
"Mar 18, 2015",1.74
"Mar 17, 2015",1.98
"Mar 16, 2015",2.03
"Mar 15, 2015",2.02
"Mar 14, 2015",2.00
"Mar 13, 2015",2.01
"Mar 12, 2015",2.04
"Mar 11, 2015",2.03
"Mar 10, 2015",2.01
"Mar 09, 2015",1.94
"Mar 08, 2015",1.89
"Mar 07, 2015",1.91
"Mar 06, 2015",1.90
"Mar 05, 2015",1.92
"Mar 04, 2015",1.93
"Mar 03, 2015",1.96
"Mar 02, 2015",1.94
"Mar 01, 2015",1.89
"Feb 28, 2015",1.84
"Feb 27, 2015",1.85
"Feb 26, 2015",1.81
"Feb 25, 2015",1.80
"Feb 24, 2015",1.83
"Feb 23, 2015",1.82
"Feb 22, 2015",1.80
"Feb 21, 2015",1.85
"Feb 20, 2015",1.85
"Feb 19, 2015",1.85
"Feb 18, 2015",1.83
"Feb 17, 2015",1.85
"Feb 16, 2015",1.80
"Feb 15, 2015",1.84
"Feb 14, 2015",1.94
"Feb 13, 2015",1.82
"Feb 12, 2015",1.76
"Feb 11, 2015",1.73
"Feb 10, 2015",1.76
"Feb 09, 2015",1.73
"Feb 08, 2015",1.78
"Feb 07, 2015",1.78
"Feb 06, 2015",1.76
"Feb 05, 2015",1.74
"Feb 04, 2015",1.79
"Feb 03, 2015",1.82
"Feb 02, 2015",1.88
"Feb 01, 2015",1.80
"Jan 31, 2015",1.87
"Jan 30, 2015",1.90
"Jan 29, 2015",1.92
"Jan 28, 2015",1.87
"Jan 27, 2015",2.09
"Jan 26, 2015",2.08
"Jan 25, 2015",2.25
"Jan 24, 2015",1.84
"Jan 23, 2015",1.43
"Jan 22, 2015",1.42
"Jan 21, 2015",1.37
"Jan 20, 2015",1.32
"Jan 19, 2015",1.34
"Jan 18, 2015",1.33
"Jan 17, 2015",1.29
"Jan 16, 2015",1.40
"Jan 15, 2015",1.28
"Jan 14, 2015",1.16
"Jan 13, 2015",1.54
"Jan 12, 2015",1.71
"Jan 11, 2015",1.72
"Jan 10, 2015",1.65
"Jan 09, 2015",1.98
"Jan 08, 2015",2.01
"Jan 07, 2015",2.12
"Jan 06, 2015",2.11
"Jan 05, 2015",2.08
"Jan 04, 2015",1.96
"Jan 03, 2015",2.13
"Jan 02, 2015",2.67
"Jan 01, 2015",2.70
"Dec 31, 2014",2.72
"Dec 30, 2014",2.70
"Dec 29, 2014",2.69
"Dec 28, 2014",2.73
"Dec 27, 2014",2.72
"Dec 26, 2014",2.78
"Dec 25, 2014",2.70
"Dec 24, 2014",2.74
"Dec 23, 2014",2.88
"Dec 22, 2014",2.89
"Dec 21, 2014",2.85
"Dec 20, 2014",2.92
"Dec 19, 2014",2.87
"Dec 18, 2014",2.81
"Dec 17, 2014",2.94
"Dec 16, 2014",3.02
"Dec 15, 2014",3.45
"Dec 14, 2014",3.48
"Dec 13, 2014",3.48
"Dec 12, 2014",3.49
"Dec 11, 2014",3.48
